new_date,actual_TEC,predicted_TEC
2011-09-17 18:00:00,18.93745229,20.609444
2011-09-17 20:00:00,17.55166614,18.416029
2011-09-17 22:00:00,17.90978614,18.15835
2011-09-18 00:00:00,15.10141229,16.912477
2011-09-18 02:00:00,11.99648,15.026048
2011-09-18 04:00:00,18.47864157,25.386105
2011-09-18 06:00:00,24.43669386,33.23234
2011-09-18 08:00:00,28.61678771,33.796093
2011-09-18 10:00:00,32.31185386,37.45133
2011-09-18 12:00:00,31.31968,35.409336
2011-09-18 14:00:00,29.68251843,33.139126
2011-09-18 16:00:00,21.71957229,27.781818
2011-09-18 18:00:00,16.21957386,19.59771
2011-09-18 20:00:00,14.78494771,17.491219
2011-09-18 22:00:00,14.10253386,16.306684
2011-09-19 00:00:00,12.77657386,14.6041975
2011-09-19 02:00:00,11.50696,13.55443
2011-09-19 04:00:00,19.42494771,23.526663
2011-09-19 06:00:00,29.71889386,30.549944
2011-09-19 08:00:00,34.68912,38.67553
2011-09-19 10:00:00,34.30622771,41.53984
2011-09-19 12:00:00,32.41736,39.110588
2011-09-19 14:00:00,29.05409229,32.800243
2011-09-19 16:00:00,22.43273229,23.951517
2011-09-19 18:00:00,16.05166614,18.025496
2011-09-19 20:00:00,13.33378771,17.377882
2011-09-19 22:00:00,11.79006614,16.180525
2011-09-20 00:00:00,11.48796,15.732144
2011-09-20 02:00:00,10.89844,15.357323
2011-09-20 04:00:00,18.99510771,23.023687
2011-09-20 06:00:00,30.46132,31.220951
2011-09-20 08:00:00,37.79296157,38.17269
2011-09-20 10:00:00,37.56710771,43.97301
2011-09-20 12:00:00,35.32018771,39.34982
2011-09-20 14:00:00,34.41073072,32.322723
2011-09-20 16:00:00,27.42047843,25.546398
2011-09-20 18:00:00,17.8492,20.779493
2011-09-20 20:00:00,15.96874614,17.571732
2011-09-20 22:00:00,14.66805386,17.280449
2011-09-21 00:00:00,14.74053386,15.614668
2011-09-21 02:00:00,13.4748,16.151304
2011-09-21 04:00:00,21.58216157,24.308378
2011-09-21 06:00:00,30.06794771,35.495407
2011-09-21 08:00:00,36.4244,39.549164
2011-09-21 10:00:00,34.43277386,41.05342
2011-09-21 12:00:00,32.52798614,37.13952
2011-09-21 14:00:00,33.66682458,33.03984
2011-09-21 16:00:00,28.99219686,24.898535
2011-09-21 18:00:00,18.23266614,18.618793
2011-09-21 20:00:00,14.85293386,16.551739
2011-09-21 22:00:00,14.57494614,16.696007
2011-09-22 00:00:00,14.02610614,15.882872
2011-09-22 02:00:00,12.74905386,15.729337
2011-09-22 04:00:00,20.92016157,24.617008
2011-09-22 06:00:00,32.04021386,33.906044
2011-09-22 08:00:00,37.38853542,40.887802
2011-09-22 10:00:00,36.37550928,39.372547
2011-09-22 12:00:00,34.76514614,36.39942
2011-09-22 14:00:00,32.24803843,33.177116
2011-09-22 16:00:00,25.35898458,23.38638
2011-09-22 18:00:00,16.50746614,17.756605
2011-09-22 20:00:00,14.15384,17.858992
2011-09-22 22:00:00,14.07726614,16.285406
2011-09-23 00:00:00,13.20268,16.177505
2011-09-23 02:00:00,11.83005386,19.427027
2011-09-23 04:00:00,19.13542771,23.961706
2011-09-23 06:00:00,27.60236,31.547361
2011-09-23 08:00:00,33.47872,37.302353
