new_date,time,actual_TEC,predicted_TEC
29-08-2013,08:00,46.6851447,43.761547
29-08-2013,10:00,52.62322314,54.479248
29-08-2013,12:00,49.52044314,50.57075
29-08-2013,14:00,46.62029843,42.7145
29-08-2013,16:00,25.65734118,26.97658
29-08-2013,18:00,14.90362,22.53155
29-08-2013,20:00,12.70986039,17.992767
29-08-2013,22:00,10.64577961,17.49451
30-08-2013,00:00,8.792200392,13.8428545
30-08-2013,02:00,15.25520118,14.610962
30-08-2013,04:00,24.36102157,21.250181
30-08-2013,06:00,32.74304274,30.348255
30-08-2013,08:00,48.24152157,43.445705
30-08-2013,10:00,54.01330235,57.63271
30-08-2013,12:00,48.81244235,52.069023
30-08-2013,14:00,46.02903961,44.17636
30-08-2013,16:00,26.37518078,26.868475
30-08-2013,18:00,16.03402078,21.591402
30-08-2013,20:00,13.42558,18.952555
30-08-2013,22:00,12.29602039,17.719807
31-08-2013,00:00,11.22226039,13.198001
31-08-2013,02:00,16.46500118,15.150121
31-08-2013,04:00,23.94396039,22.529015
31-08-2013,06:00,32.93864196,30.891882
31-08-2013,08:00,49.06312196,43.653786
31-08-2013,10:00,49.82458235,55.44394
31-08-2013,12:00,40.04019726,48.271713
31-08-2013,14:00,30.65910039,37.00595
31-08-2013,16:00,18.32268157,23.994328
31-08-2013,18:00,15.80840039,21.097746
31-08-2013,20:00,15.558,17.69898
31-08-2013,22:00,13.07642039,15.163189
01-09-2013,00:00,10.71658078,14.3129835
01-09-2013,02:00,14.61512118,21.091639
01-09-2013,04:00,25.33882157,27.850502
01-09-2013,06:00,38.68822157,36.981373
01-09-2013,08:00,55.44551882,52.744114
01-09-2013,10:00,55.12492157,58.586754
01-09-2013,12:00,44.32136078,48.803337
01-09-2013,14:00,35.12820078,33.00919
01-09-2013,16:00,24.93550196,24.967783
01-09-2013,18:00,16.96438118,22.511234
01-09-2013,20:00,14.32614078,17.934473
01-09-2013,22:00,12.96177961,16.61666
02-09-2013,00:00,10.72830078,13.644459
02-09-2013,02:00,14.9164,17.212534
02-09-2013,04:00,24.99278157,23.641674
02-09-2013,06:00,37.72304314,33.89088
02-09-2013,08:00,52.52484,47.595062
02-09-2013,10:00,54.68134235,58.80448
02-09-2013,12:00,46.83358118,52.395508
02-09-2013,14:00,36.45915843,37.292862
02-09-2013,16:00,19.79156039,24.819403
02-09-2013,18:00,15.25616039,20.16967
02-09-2013,20:00,13.68814039,18.009516
02-09-2013,22:00,12.34202,14.980342
03-09-2013,00:00,9.46804,14.240214
03-09-2013,02:00,15.51534118,17.064873
03-09-2013,04:00,23.26868157,25.377253
03-09-2013,06:00,35.45888314,33.822716
03-09-2013,08:00,49.56548196,48.429993
03-09-2013,10:00,54.87754392,57.054558
03-09-2013,12:00,46.27675922,51.316746
03-09-2013,14:00,38.67890157,41.84448
03-09-2013,16:00,26.26352118,25.63801
03-09-2013,18:00,19.87098,20.901445
03-09-2013,20:00,16.41493882,18.960054
03-09-2013,22:00,12.16804,17.557861
04-09-2013,00:00,10.04828039,15.043711
